Username,Department/District
cg.agriculture.hod,Agriculture
cg.ci.hod,Dept. of Commerce and Industries
cg.cecb.hod,Chhattisgarh Environment Conservation Board
cg.csec.hod,State Election Commissioner
cg.energy.hod,Dept of Energy
cg.finance.hod,Institutional Finance
cg.food.hod,Food & Civil Supplies
cg.forest.hod,Chief Conservator of Forest
cg.gad.hod,Dept of General Administration
cg.health.hod,Dept of Health & FW
cg.higher_education.hod,Higher Education
cg.home.hod,Dept. of Home
cg.labour.hod,Dept of Labour
cg.law.hod,Dept of Law
cg.prd.hod,Dept of Panchayat and Rural development
cg.phe.hod,Dept of Public Health Engineering
cg.planning.hod,Dept of Planning Economics and Statistics
cg.revenue.hod,Dept of Revenue & Disaster Management
cg.school_education.hod,Dept of School Education
cg.swd.hod,Dept of Social Welfare
cg.uad.hod,Dept. of Urban Administration
cg.wcd.hod,Dept of Women and Child Development
cg.wrd.hod,Dept of Water Resurces
cg.dmr.hod,Mining
cg.mot.hod,Tourism and Culture
cg.dst.hod,Chhattisgarh Council of Science and Technology
cg.deit_chips.hod,Chhattisgarh Infotech Promotion Society
cg.transportation.hod,Transportation
cg.cooperation.hod,Cooperation
cg.housingenvironment.hod,Housing & Environment
cg.commercialtax.hod,Commercial Tax
cg.jail.hod,Jail
cg.technicaleducation.hod,Technical Education
cg.publicrelations.hod,Public Relations
cg.fisheries.hod,Fisheries
cg.employmenttraining.hod,Employment & Training
cg.animalhusbandry.hod,Animal Husbandry
cg.excisedepartment.hod,Excise Department
cg.culture.hod,Culture & Archaeology Department
cg.res.hod,Rural Engineering
cg.rera.hod,Chhattisgarh RERA
cg.tnc.hod,Town and Country Department
cg.sports.hod,Sports Department
cg.pwd.hod,Public Work Department
cg.horticulture.hod,Horticulture
balod.district,Balod
balodabazar.district,Balodabazar
balrampur.district,Balrampur
bastar.district,Bastar
bemetara.district,Bemetara
bijapur.district,Bijapur
bilaspur.district,Bilaspur
dantewada.district,Dantewada
dhamtari.district,Dhamtari
durg.district,Durg
gariyaband.district,Gariyaband
janjgir.district,Janjgir
jashpur.district,Jashpur
kanker.district,Kanker
kabirdham.district,Kabirdham
kondagaon.district,Kondagaon
korba.district,Korba
korea.district,Korea
mahasamund.district,Mahasamund
mungeli.district,Mungeli
narayanpur.district,Narayanpur
raigarh.district,Raigarh
raipur.district,Raipur
rajnandgaon.district,Rajnandgaon
sukma.district,Sukma
surajpur.district,Surajpur
surguja.district,Surguja
gaurellapendramarwahi.district,Gaurellapendramarwahi
khairagarhchhuikhadangandai.district,Khairagarhchhuikhadangandai
manendragarhchirmiribharatpuri.district,Manendragarhchirmiribharatpuri
mohlamanpurambagarhchowki.district,Mohlamanpurambagarhchowki
sarangarhbilaigarh.district,Sarangarhbilaigarh
sakti.district,Sakti
