goal_index,goal_id,district_indicator_desc,district_indicator_master_id,,indicators_value,district,district_name,valueyear,delete_flag
1,Goal 1,1.2.1 District MPI score,1051,0.02,0.02,DT01,Balod,2023,N
1,Goal 1,"1.3.1 Percentage of households with any usual member covered by a health scheme or health insurance, (in percentage)",1045,79.5,79.5,DT01,Balod,2023,N
1,Goal 1,"1.3.2 Percentage of population covered by Social Protection Schemes (Old age/widow, divorced, separated, destitute/disabled)",1032,8.9,8.89,DT01,Balod,2023,N
1,Goal 1,1.3.3 Persons provided employment as a percentage of persons who demanded employment under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA),1012,99.99,95.93,DT01,Balod,2023,N
1,Goal 1,1.3.4 Number of disabled persons who have worked in MGNREGA as a proportion of disabled persons registered in MGNREGA,1013,37.34,40.14,DT01,Balod,2023,N
1,Goal 1,1.3.5 Percentage of households living in katcha houses (rural),1061,30.59,50.93,DT01,Balod,2023,N
2,Goal 2,2.1.1 Children under 5 years who are underweight (weight-for-age) (%),1033,36,36,DT01,Balod,2023,N
2,Goal 2,"2.1.2 Proportion of beneficiaries covered under Chhattisgarh National Food Security Act 2012, (in percentage)",1052,98.67,98.67,DT01,Balod,2023,N
2,Goal 2,2.2.1 Children under 5 years who are stunted (height-for-age) (%) ,1034,33.6,29.17,DT01,Balod,2023,N
2,Goal 2,2.2.2 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),1082,48.6,48.6,DT01,Balod,2023,N
2,Goal 2,2.2.3 Adolescent (15 -19 years) who are anaemic (%),1001,60.55,60.55,DT01,Balod,2023,N
2,Goal 2,2.3.1 Agriculture productivity of rice (in kg per hectare),1021,2555,2555,DT01,Balod,2023,N
2,Goal 2,2.3.2 Agriculture productivity of wheat (in kg per hectare),1022,1476,1476,DT01,Balod,2023,N
3,Goal 3,3.1.1 Percentage of Institutional Deliveries conducted (Including C-Sections),1035,99.87,99.87,DT01,Balod,2023,N
3,Goal 3,"3.2.1 Under - five mortality rate, (per 1,000 live births)",1046,43,43,DT01,Balod,2023,N
3,Goal 3,3.2.2 Percentage of children aged 12-23 months fully immunized,1028,85.2,82,DT01,Balod,2023,N
3,Goal 3,"3.3.1 Tuberculosis incidence per 1,00,000 population",1053,94,111,DT01,Balod,2023,N
3,Goal 3,"3.4.1 Suicide mortality rate, (per 1,00,000 population)",1008,33.48,33.48,DT01,Balod,2023,N
3,Goal 3,"3.6.1 People killed in road accidents (per 1,00,000 population) ",1007,5,19.68,DT01,Balod,2023,N
3,Goal 3,"3.8.1 Total physicians, nurses and midwives per 10,000 population",1029,56.11,5.5,DT01,Balod,2023,N
4,Goal 4,4.1.1 Adjusted Net Enrolment Ratio in elementary (class 1-8) education,1071,86.79,86.79,DT01,Balod,2023,N
4,Goal 4,4.1.2 Gross Enrolment Ratio in higher secondary (class 11-12) education,1072,69.7,69.7,DT01,Balod,2023,N
4,Goal 4,4.1.3 Percentage of students in grade 8 achieving at least a minimum proficiency level in terms of nationally defined learning outcomes to be attained by pupils at the end of each of above grades,1039,75.95,75.95,DT01,Balod,2023,N
4,Goal 4,4.1.4 Average annual dropout rate at secondary level (class 9-10),1073,5.9,5.9,DT01,Balod,2023,N
4,Goal 4,4.3.1 Gross enrolment ratio (GER) in higher education,1031,34.87,28.11,DT01,Balod,2023,N
4,Goal 4,4.a.1 Proportion of schools with access to: basic drinking water,1074,99.99,99.99,DT01,Balod,2023,N
4,Goal 4,4.a.2 Proportion of schools with access to: basic sanitation facilities,1075,98.83,98.83,DT01,Balod,2023,N
4,Goal 4,4.c.1 Proportion of trained teachers at secondary level (class 9-10),1076,85.73,85.73,DT01,Balod,2023,N
4,Goal 4,4.c.2 Pupil Teacher ratio at secondary level (class-9-10),1077,29.02,29.02,DT01,Balod,2023,N
5,Goal 5,"5.1.1 Rate of crimes against women per 1,00,000 female population",1009,4.24,42.19,DT01,Balod,2023,N
5,Goal 5,5.1.2 Sex Ratio at Birth,1030,1068,1068,DT01,Balod,2023,N
5,Goal 5,5.2.1 Per lakh women who have experienced cruelty/physical violence by husband or his relative during the calendar year,1042,42.19,4.24,DT01,Balod,2023,N
5,Goal 5,"5.5.1 Proportion of seats held by women in  Local Self Government- three tire panchayat and ULB election, (in percentage) ",1019,51.57,51.57,DT01,Balod,2023,N
5,Goal 5,5.6.1 Unmet need for family planning for currently married women aged 15-49 years (in percentage),1047,2.6,2.6,DT01,Balod,2023,N
5,Goal 5,5.a.1 Operational land holdings (Female operated operational Holdings),1020,16.05,16.05,DT01,Balod,2023,N
6,Goal 6,6.1.1 Percentage of Rural Population getting safe and adequate drinking water within premises through Pipe Water Supply (PWS),1062,45.99,45.99,DT01,Balod,2023,N
6,Goal 6,6.1.2 Percentage of Urban Population getting safe and adequate drinking water within premises through Pipe Water Supply (PWS),1079,98,98,DT01,Balod,2023,N
6,Goal 6,6.1.3 Percentage of Rural population using an improved drinking water source (Population covered with >=40 LPCD),1026,99.92,99.92,DT01,Balod,2023,N
6,Goal 6,6.1.4 Percentage of Urban population using an improved drinking water source,1080,100,100,DT01,Balod,2023,N
6,Goal 6,6.2.1 Proportion of Rural households having access to toilet facility ,1025,100,100,DT01,Balod,2023,N
6,Goal 6,6.2.1 Proportion of Urban households having access to toilet facility ,1049,100,100,DT01,Balod,2023,N
6,Goal 6,6.2.2 Percentage of Gram Panchayat (GP) achieving Open Defecation Free (ODF) target,1024,100,100,DT01,Balod,2023,N
6,Goal 6,6.2.3 Proportion of schools with separate toilet facility for girls (in percentage),1004,98.69,98.69,DT01,Balod,2023,N
6,Goal 6,6.4.1 Percentage ground water withdrawal against availability,1015,85.41,69.44,DT01,Balod,2023,N
6,Goal 6,6.6.1 Percentage of blocks/mandals/taluka over- exploited,1014,0,0,DT01,Balod,2023,N
7,Goal 7,7.1.1 Percentage of households electrified ,1027,100,100,DT01,Balod,2023,N
7,Goal 7,7.1.2 Percentage of household using clean cooking fuel,1057,83.7,83.7,DT01,Balod,2023,N
8,Goal 8,"8.10.1 Number of banking outlets per 1,00,000 population",1069,67.49,12.83,DT01,Balod,2023,N
8,Goal 8,"8.10.2 Automated Teller Machines (ATMs) per 1,00,000 population",1011,28.24,10.17,DT01,Balod,2023,N
8,Goal 8,8.10.3 Proportion of women account holders in PMJDY ,1070,12.83,55.56,DT01,Balod,2023,N
8,Goal 8,8.5.1 Workforce Participation Ratio (WPR) (in rate per 100). a) Total b) male c) female ,1036,10.17,60.46,DT01,Balod,2023,N
8,Goal 8,8.5.2 Labour force participation rate (%) (15-59 years) ,1037,55.56,30.53,DT01,Balod,2023,N
9,Goal 9,9.1.1 Percentage of targeted habitations connected by all-weather roads under Pradhan Mantri Gram Sadak Yojana,1060,100,100,DT01,Balod,2023,N
9,Goal 9,9.2.1 Manufacturing employment as a proportion of total employment (in percentage),1023,0.24795041,0.25,DT01,Balod,2023,N
10,Goal 10,10.2.1 Proportion of SC/ST persons in local Elected bodies,1002,54.51,54.51,DT01,Balod,2023,N
10,Goal 10,10.2.2 Percentage of population in the lowest two wealth quintiles as per the Wealth Index,1048,25.21,25.21,DT01,Balod,2023,N
10,Goal 10,10.4.1 Rate total crime against SCs/STs,1040,2.27,2.27,DT01,Balod,2023,N
11,Goal 11,"11.1.1 Proportion of Urban Population Living in Slums, informal Settlements or Inadequate Housing",1081,0,0,DT01,Balod,2023,N
