indicator_value_id,indicator_master_id,indicators_value,district,valueyear,delete_flag,district_indicator_master_id
15704,10568,35.99,DT28,2023,A,1069
17135,10550,0.07,DT28,2023,N,1051
17136,10542,60.48,DT28,2023,N,1045
17137,10529,8.71,DT28,2023,N,1032
17138,10505,99.92,DT28,2023,N,1012
17139,10506,33.37,DT28,2023,N,1013
17140,10560,34.66,DT28,2023,N,1061
17141,10530,28,DT28,2023,N,1033
17142,10551,85.75,DT28,2023,N,1052
17143,10531,25.7,DT28,2023,N,1034
17144,10543,41.44,DT28,2023,N,1082
17145,10544,63.4,DT28,2023,N,1001
17146,10515,3750,DT28,2023,N,1021
17147,10516,2128,DT28,2023,N,1022
17148,10532,99.75,DT28,2023,N,1035
17149,10545,28.79,DT28,2023,N,1046
17150,10524,104,DT28,2023,N,1028
17151,10552,216,DT28,2023,N,1053
17152,10500,30.26,DT28,2023,N,1008
17153,10499,4.42,DT28,2023,N,1007
17154,10525,70.38,DT28,2023,N,1029
17155,10570,96.79,DT28,2023,N,1071
17156,10571,60.9,DT28,2023,N,1072
17157,10536,84.67,DT28,2023,N,1039
17158,10572,27,DT28,2023,N,1073
17159,10527,50.99,DT28,2023,N,1031
17160,10573,77.26,DT28,2023,N,1074
17161,10574,100,DT28,2023,N,1075
17162,10575,100,DT28,2023,N,1076
17163,10576,17.45,DT28,2023,N,1077
17164,10501,8.22,DT28,2023,N,1009
17165,10526,952,DT28,2023,N,1030
17166,10539,73.12,DT28,2023,N,1042
17167,10512,58.44,DT28,2023,N,1019
17168,10546,10.4,DT28,2023,N,1047
17169,10514,15.4,DT28,2023,N,1020
17170,10561,36.76,DT28,2023,N,1062
17171,10578,60,DT28,2023,N,1079
17172,10522,98.74,DT28,2023,N,1026
17173,10579,49,DT28,2023,N,1080
17174,10520,100,DT28,2023,N,1025
17175,10548,100,DT28,2023,N,1049
17176,10519,100,DT28,2023,N,1024
17177,10528,100,DT28,2023,N,1004
17178,10508,60.01,DT28,2023,N,1015
17179,10507,0,DT28,2023,N,1014
17180,10523,100,DT28,2023,N,1027
17181,10556,101.42,DT28,2023,N,1057
17187,10559,100,DT28,2023,N,1060
17188,10518,0.7366766,DT28,2023,N,1023
17189,10513,61.91,DT28,2023,N,1002
17190,10547,37.19,DT28,2023,N,1048
17191,10537,1.36,DT28,2023,N,1040
17192,10580,13,DT28,2023,N,1081
17193,10549,20,DT28,2023,N,1050
17194,10502,16.41,DT28,2023,N,1010
17195,10563,100,DT28,2023,N,1064
17196,10567,59,DT28,2023,N,1068
17197,10564,100,DT28,2023,N,1065
17198,10565,184,DT28,2023,N,1066
17199,10517,73,DT28,2023,N,1005
17200,10509,0.04,DT28,2023,N,1016
17201,10510,70.18,DT28,2023,N,1017
17202,10581,36.5,DT28,2023,N,1003
17203,10511,100,DT28,2023,N,1018
17204,10566,100,DT28,2023,N,1067
17205,10562,0.25,DT28,2023,N,1063
17206,10553,37.2,DT28,2023,N,1054
17207,10554,3.52,DT28,2023,N,1055
17208,10555,4,DT28,2023,N,1056
17209,10503,0,DT28,2023,N,1006
17210,10540,49.47,DT28,2023,N,1043
17211,10541,0,DT28,2023,N,1044
17212,10535,2.49,DT28,2023,N,1038
17213,10538,10,DT28,2023,N,1041
17214,10557,131.6,DT28,2023,N,1058
17215,10558,90.6,DT28,2023,N,1059
17216,10577,93.86,DT28,2023,N,1078
15731,10504,15.38,DT28,2023,A,1011
15758,10569,56.49,DT28,2023,A,1070
15785,10533,70.1,DT28,2023,A,1036
15812,10534,19.08,DT28,2023,A,1037
