goal_index,goal_id,district_indicator_desc,district_indicator_master_id,cg_value,normalized_value
1,Goal 1,1.2.1 District MPI score,1051,0.07,
1,Goal 1,"1.3.1 Percentage of households with any usual member covered by a health scheme or health insurance, (in percentage)",1045,82,
1,Goal 1,"1.3.2 Percentage of population covered by Social Protection Schemes (Old age/widow, divorced, separated, destitute/disabled)",1032,8.71,
1,Goal 1,1.3.3 Persons provided employment as a percentage of persons who demanded employment under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA),1012,99.97,
1,Goal 1,1.3.4 Number of disabled persons who have worked in MGNREGA as a proportion of disabled persons registered in MGNREGA,1013,29.13,
1,Goal 1,1.3.5 Percentage of households living in katcha houses (rural),1061,27.6,
2,Goal 2,2.1.1 Children under 5 years who are underweight (weight-for-age) (%),1033,31.3,
2,Goal 2,"2.1.2 Proportion of beneficiaries covered under Chhattisgarh National Food Security Act 2012, (in percentage)",1052,91.11,
2,Goal 2,2.2.1 Children under 5 years who are stunted (height-for-age) (%) ,1034,34.6,
2,Goal 2,2.2.2 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),1082,51.8,
2,Goal 2,2.2.3 Adolescent (15 -19 years) who are anaemic (%),1001,58.5,
2,Goal 2,2.3.1 Agriculture productivity of rice (in kg per hectare),1021,2477,
2,Goal 2,2.3.2 Agriculture productivity of wheat (in kg per hectare),1022,1754,
3,Goal 3,3.1.1 Percentage of Institutional Deliveries conducted (Including C-Sections),1035,89.7,
3,Goal 3,"3.2.1 Under - five mortality rate, (per 1,000 live births)",1046,50.4,
3,Goal 3,3.2.2 Percentage of children aged 12-23 months fully immunized,1028,90.95,
3,Goal 3,"3.3.1 Tuberculosis incidence per 1,00,000 population",1053,131,
3,Goal 3,"3.4.1 Suicide mortality rate, (per 1,00,000 population)",1008,25,
3,Goal 3,"3.6.1 People killed in road accidents (per 1,00,000 population) ",1007,7,
3,Goal 3,"3.8.1 Total physicians, nurses and midwives per 10,000 population",1029,52.8,
4,Goal 4,4.1.1 Adjusted Net Enrolment Ratio in elementary (class 1-8) education,1071,90.75,
4,Goal 4,4.1.2 Gross Enrolment Ratio in higher secondary (class 11-12) education,1072,68.11,
4,Goal 4,4.1.3 Percentage of students in grade 8 achieving at least a minimum proficiency level in terms of nationally defined learning outcomes to be attained by pupils at the end of each of above grades,1039,75.13,
4,Goal 4,4.1.4 Average annual dropout rate at secondary level (class 9-10),1073,14.03,
4,Goal 4,4.3.1 Gross enrolment ratio (GER) in higher education,1031,21.04,
4,Goal 4,4.a.1 Proportion of schools with access to: basic drinking water,1074,99.86,
4,Goal 4,4.a.2 Proportion of schools with access to: basic sanitation facilities,1075,85.63,
4,Goal 4,4.c.1 Proportion of trained teachers at secondary level (class 9-10),1076,58.22,
4,Goal 4,4.c.2 Pupil Teacher ratio at secondary level (class-9-10),1077,19,
5,Goal 5,"5.1.1 Rate of crimes against women per 1,00,000 female population",1009,5.06,
5,Goal 5,5.1.2 Sex Ratio at Birth,1030,960,
5,Goal 5,5.2.1 Per lakh women who have experienced cruelty/physical violence by husband or his relative during the calendar year,1042,47.43,
5,Goal 5,"5.5.1 Proportion of seats held by women in  Local Self Government- three tire panchayat and ULB election, (in percentage) ",1019,54.52,
5,Goal 5,5.6.1 Unmet need for family planning for currently married women aged 15-49 years (in percentage),1047,8.3,
5,Goal 5,5.a.1 Operational land holdings (Female operated operational Holdings),1020,14.48,
6,Goal 6,6.1.1 Percentage of Rural Population getting safe and adequate drinking water within premises through Pipe Water Supply (PWS),1062,41.74,
6,Goal 6,6.1.2 Percentage of Urban Population getting safe and adequate drinking water within premises through Pipe Water Supply (PWS),1079,76.4,
6,Goal 6,6.1.3 Percentage of Rural population using an improved drinking water source (Population covered with >=40 LPCD),1026,96.09,
6,Goal 6,6.1.4 Percentage of Urban population using an improved drinking water source,1080,81.65,
6,Goal 6,6.2.1 Proportion of Rural households having access to toilet facility ,1025,100,
6,Goal 6,6.2.1 Proportion of Urban households having access to toilet facility ,1049,100,
6,Goal 6,6.2.2 Percentage of Gram Panchayat (GP) achieving Open Defecation Free (ODF) target,1024,100,
6,Goal 6,6.2.3 Proportion of schools with separate toilet facility for girls (in percentage),1004,99.16,
6,Goal 6,6.4.1 Percentage ground water withdrawal against availability,1015,45,
6,Goal 6,6.6.1 Percentage of blocks/mandals/taluka over- exploited,1014,100,
7,Goal 7,7.1.1 Percentage of households electrified ,1027,100,
7,Goal 7,7.1.2 Percentage of household using clean cooking fuel,1057,81.2,
8,Goal 8,"8.10.1 Number of banking outlets per 1,00,000 population",1069,71.66,
8,Goal 8,"8.10.2 Automated Teller Machines (ATMs) per 1,00,000 population",1011,18.71,
8,Goal 8,8.10.3 Proportion of women account holders in PMJDY ,1070,13.07,
8,Goal 8,8.5.1 Workforce Participation Ratio (WPR) (in rate per 100). a) Total b) male c) female ,1036,13.67,
8,Goal 8,8.5.2 Labour force participation rate (%) (15-59 years) ,1037,55.75,
9,Goal 9,9.1.1 Percentage of targeted habitations connected by all-weather roads under Pradhan Mantri Gram Sadak Yojana,1060,98,
9,Goal 9,9.2.1 Manufacturing employment as a proportion of total employment (in percentage),1023,1.393730746,
10,Goal 10,10.2.1 Proportion of SC/ST persons in local Elected bodies,1002,51.66,
10,Goal 10,10.2.2 Percentage of population in the lowest two wealth quintiles as per the Wealth Index,1048,39.98,
10,Goal 10,10.4.1 Rate total crime against SCs/STs,1040,6.96,
11,Goal 11,"11.1.1 Proportion of Urban Population Living in Slums, informal Settlements or Inadequate Housing",1081,7.62,
11,Goal 11,11.1.2 Percentage of urban households living in katcha houses,1050,20.32,
11,Goal 11,"11.2.1 People killed/injured in road accidents ( per 1,00,000 population)",1010,20.46,
11,Goal 11,11.6.1 Percentage of wards with 100% door to door waste collection,1064,100,
11,Goal 11,11.6.2 Percentage of urban areas having drainage facility (covered),1068,74.26,
11,Goal 11,11.6.3 Percentage Municipal Solid Waste (MSW) treated against MSW generated,1065,100,
11,Goal 11,11.6.4 Installed septage treatment capacity as a proportion of septage generated in urban areas ,1066,117,
12,Goal 12,"12.4.1 Percentage use of nitrogen fertilizer out of total N,P,K, (Nitrogen, Phosphorous, Potassium)",1005,57.96,
12,Goal 12,12.5.1 Per capita hazard waste generated,1016,1.81,
12,Goal 12,12.5.2 Quantity of hazardous waste recycled to total hazardous waste generated (in percentage),1017,85,
12,Goal 12,12.5.3 Per capita (in gm) plastic waste generated in urban areas ,1003,15.28,
12,Goal 12,12.5.4 Proportion of BMW treated to total quantity of BMW generated ,1018,100,
12,Goal 12,12.5.5 Percentage of wards with 100% source segregation,1067,100,
13,Goal 13,"13.1.1 Number of deaths attributed to extreme climate per 1,00,000 population ",1063,2.77,
13,Goal 13,13.2.1 CO2 saved from LED bulbs per 1000 population,1054,34.83,
15,Goal 15,15.2.1 Total area covered under different afforestation schemes (in Hectare),1055,1.5,
15,Goal 15,"15.7.1 Number of cases registered under the Wildlife Protection Act, 1972",1056,1,
16,Goal 16,"16.2.1 Number of victims rescued from human trafficking per 1,00,000 population",1006,0,
16,Goal 16,"16.2.2 Proportion of Crime Committed against Children during the year, ( per 1,00,000 children)",1043,56,
16,Goal 16,16.2.3 Number of Missing Children per lakh population,1044,31,
16,Goal 16,16.3.1 Number of courts per lakh population,1038,2,
16,Goal 16,"16.5.1 Cases reported under Prevention of Corruption Act and related section of IPC per 1,00,000 population",1041,1,
16,Goal 16,16.9.1 Percentage of net births registered,1058,109,
16,Goal 16,16.9.2 Percentage of net death registered,1059,85,
16,Goal 16,"16.9.3 Proportion of population covered under Aadhaar, (in percentage)",1078,97.22,
